"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Feb 10 12:37:03 EET 2023","Fri Feb 10 12:37:06 EET 2023","3623","","My Login application","","My Login application","ID 3 Verify the Add to card Button on the Numbers / Search & Buy Numbers page adds chosen number to the Cart","ID 3 Verify the Add to card Button on the Numbers / Search & Buy Numbers page adds chosen number to the Cart",""
"passed","Fri Feb 10 12:35:21 EET 2023","Fri Feb 10 12:35:33 EET 2023","11232","","Testing the Report Abuse page","","Testing the Report Abuse page","ID 12 Check the ability to send a report with empty fields on Report Abuse page","ID 12 Check the ability to send a report with empty fields on Report Abuse page",""
"passed","Fri Feb 10 12:37:12 EET 2023","Fri Feb 10 12:37:40 EET 2023","28751","","My Login application","","My Login application","ID 1 Verify the Toll-Free Numbers Button on the Numbers / Search & Buy Numbers page opens the Search Numbers section by Country Code","ID 1 Verify the Toll-Free Numbers Button on the Numbers / Search & Buy Numbers page opens the Search Numbers section by Country Code",""
"passed","Fri Feb 10 12:36:25 EET 2023","Fri Feb 10 12:36:33 EET 2023","8036","","Testing the main page","","Testing the main page","ID 13 Check redirection to Cookie Policy information from footer on Telnyx page","ID 13 Check redirection to Cookie Policy information from footer on Telnyx page",""
"passed","Fri Feb 10 12:35:58 EET 2023","Fri Feb 10 12:36:07 EET 2023","8943","","Testing the Report Abuse page","","Testing the Report Abuse page","ID 12 Check the ability to send a report with empty fields on Report Abuse page","ID 12 Check the ability to send a report with empty fields on Report Abuse page",""
"broken","Fri Feb 10 12:32:43 EET 2023","Fri Feb 10 12:33:33 EET 2023","49941","","Testing the Demo Video App page","","Testing the Demo Video App page","ID 7 Check the ability to create Video Room with an invalid URL on the Demo Video App page","ID 7 Check the ability to create Video Room with an invalid URL on the Demo Video App page",""
"passed","Fri Feb 10 12:33:27 EET 2023","Fri Feb 10 12:33:36 EET 2023","8111","","Testing the IoT-sim-card page","","Testing the IoT-sim-card page","ID 18 Check the Get a Sim Card button on the IoT-sim-card page opens the Sign-up page","ID 18 Check the Get a Sim Card button on the IoT-sim-card page opens the Sign-up page",""
"broken","Fri Feb 10 12:33:40 EET 2023","Fri Feb 10 12:34:40 EET 2023","60025","","My Cart page","","My Cart page","""before all"" hook for My Cart page","""before all"" hook for My Cart page",""
"broken","Fri Feb 10 12:34:23 EET 2023","Fri Feb 10 12:34:45 EET 2023","21979","","Testing the Login page","","Testing the Login page","ID 20 Check the Log in with Microsoft button on the Login page opens the Microsoft Sign in page","ID 20 Check the Log in with Microsoft button on the Login page opens the Microsoft Sign in page",""
"passed","Fri Feb 10 12:35:50 EET 2023","Fri Feb 10 12:35:56 EET 2023","6304","","Testing the Sign Up page","","Testing the Sign Up page","ID 17 Сheck the possibility to add the necessary characters to become password valid, after an unsuccessful attempt to register on Sign up page","ID 17 Сheck the possibility to add the necessary characters to become password valid, after an unsuccessful attempt to register on Sign up page",""
"passed","Fri Feb 10 12:37:07 EET 2023","Fri Feb 10 12:37:18 EET 2023","11707","","My Login application","","My Login application","ID 6 Check the Start messaging link on the Home page opens Telnyx Developers Page","ID 6 Check the Start messaging link on the Home page opens Telnyx Developers Page",""
"broken","Fri Feb 10 12:27:05 EET 2023","Fri Feb 10 12:28:05 EET 2023","60177","","Testing the Demo Video App page","","Testing the Demo Video App page","""before all"" hook for Testing the Demo Video App page","""before all"" hook for Testing the Demo Video App page",""
"passed","Fri Feb 10 12:35:27 EET 2023","Fri Feb 10 12:36:54 EET 2023","86812","","Testing the Pricing page","","Testing the Pricing page","ID 8 Сheck that the marks on a slider on Pricing Tier Control in the Outbound (Termination) Voice/Fax Usage section correspond right button  on the Pricing page","ID 8 Сheck that the marks on a slider on Pricing Tier Control in the Outbound (Termination) Voice/Fax Usage section correspond right button  on the Pricing page",""
"passed","Fri Feb 10 12:36:12 EET 2023","Fri Feb 10 12:37:02 EET 2023","50204","","My Login application","","My Login application","ID 1 Verify the Toll-Free Numbers Button on the Numbers / Search & Buy Numbers page opens the Search Numbers section by Country Code","ID 1 Verify the Toll-Free Numbers Button on the Numbers / Search & Buy Numbers page opens the Search Numbers section by Country Code",""
"passed","Fri Feb 10 12:37:41 EET 2023","Fri Feb 10 12:37:45 EET 2023","4603","","My Login application","","My Login application","ID 3 Verify the Add to card Button on the Numbers / Search & Buy Numbers page adds chosen number to the Cart","ID 3 Verify the Add to card Button on the Numbers / Search & Buy Numbers page adds chosen number to the Cart",""
